date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity
3/25/2021,OR,ORA,Oregon,4217737,Report,2165585,1657083,51345,39288,800808,820100,35100,1075,1067154,25.3,13.8,1063893,31.7,1652094,49299,64622,519589,67.8,731778,95522,282684,583495,581792,17.4,1057400,1045785,62400,0,279920,303398,34904,177,279753,301862,34885,177,98187,119696,22167,85,618399,14.7,616677,18.4,240135,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,PA,PAA,Pennsylvania,12801989,Report,6814805,5325139,53232,41596,2528673,2681925,114426,115,3601385,28.1,13.5,3593196,35.3,5314285,52268,67026,1628976,68.1,2471019,103245,284738,1726761,1724080,17,3288900,3330405,195500,0,848696,877974,116435,91,848518,875472,116427,90,424546,411286,15355,55,1843196,14.4,1840507,18.1,851242,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,RI,RIA,Rhode Island,1059361,Report,586305,497475,55345,46960,241808,244572,11094,1,321271,30.3,16.5,320815,37.5,496862,58122,68584,152876,81.7,242215,129495,313455,175267,175112,20.5,282600,288405,15300,0,92552,82714,10979,1,92548,82563,10979,1,41011,49023,1779,0,186246,17.6,186091,21.8,91813,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,SC,SCA,South Carolina,5148714,Report,2511895,1926363,48787,37414,733509,1153733,38096,1025,1264061,24.6,12.6,1261582,31.2,1923421,47639,62214,667329,71.2,1113942,118881,268072,648808,648366,16.1,1106500,1330095,75300,0,219734,428871,37310,203,219703,428460,37281,203,167654,278180,7748,139,686118,13.3,685647,17,453721,48.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,SD,SDA,South Dakota,884659,Report,563745,445142,63725,50318,221336,217537,6256,13,279590,31.6,18.8,278624,41.7,443797,66481,84449,125480,82.6,216820,142766,371200,166369,166000,24.9,282400,267345,14000,0,82562,83802,6253,5,82548,83447,6251,5,44479,48274,1018,2,172622,19.5,172251,25.8,93773,61.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,TN,TNA,Tennessee,6829174,Report,3262400,2353612,47772,34464,1108109,1203156,39545,2802,1531296,22.4,11.4,1528724,28.7,2350798,44195,61333,726196,63.5,1202287,105151,285326,775536,775317,14.6,1656300,1521000,85100,0,347477,427303,39543,756,347459,427103,39486,755,222737,230049,8128,513,815079,11.9,814803,15.3,461427,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,TX,TXA,Texas,28995881,Report,14200005,10133617,48972,34948,4704907,5187337,240960,413,6642893,22.9,10.7,6612071,30.6,10087792,46711,65753,2735544,73.3,3898242,104392,380266,3105403,3090995,14.3,6544600,7210905,444500,0,1483845,1620958,236609,269,1476960,1613437,235511,268,667137,728783,106379,121,3341681,11.5,3326177,15.4,1502420,40.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,UT,UTA,Utah,3205958,Report,1476470,1213732,46054,37859,561267,623164,29301,0,744143,23.2,9.4,740735,32.6,1209267,53160,64906,270539,73.9,463675,126731,403548,302332,301673,13.3,733900,703170,39400,0,145131,157201,27901,0,145077,156596,27877,0,53151,81165,5923,0,330233,10.3,329550,14.5,140239,38.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,VA,VAA,Virginia,8535519,Report,4298625,3529449,50362,41350,1604983,1839047,84707,712,2321609,27.2,14,2313965,34.7,3519782,52733,64402,954201,70.2,1490536,109686,316330,1192957,1191072,17.8,2050800,2144025,103800,0,555559,637182,84390,216,555315,635541,84257,216,251193,282920,29726,158,1277347,15,1275329,19.1,563997,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2021,VT,VTA,Vermont,623989,Report,374580,290680,60030,46584,143450,142446,4553,231,188433,30.2,15.3,188048,36.9,290159,56896,73449,104516,83.6,157267,125774,299571,95560,95421,18.7,184900,180180,9500,0,47525,47970,4430,65,47514,47842,4427,65,21290,27480,78,42,99990,16,99848,19.6,48890,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
