date,first_date_scraped,first_reported_deaths,date_scraped,current_deaths,diff
2021-01-21,2021-01-22,5,2021-03-25,10,5
2021-01-22,2021-01-25,8,2021-03-25,16,8
2021-01-23,2021-01-25,4,2021-03-25,8,4
2021-01-24,2021-01-25,9,2021-03-25,16,7
2021-01-25,2021-01-26,10,2021-03-25,14,4
2021-01-26,2021-01-27,7,2021-03-25,12,5
2021-01-27,2021-01-28,4,2021-03-25,7,3
2021-01-28,2021-01-29,7,2021-03-25,15,8
2021-01-29,2021-02-01,4,2021-03-25,7,3
2021-01-30,2021-02-01,4,2021-03-25,9,5
2021-01-31,2021-02-01,5,2021-03-25,8,3
2021-02-01,2021-02-02,8,2021-03-25,11,3
2021-02-02,2021-02-03,10,2021-03-25,14,4
2021-02-03,2021-02-04,9,2021-03-25,15,6
2021-02-04,2021-02-05,2,2021-03-25,8,6
2021-02-05,2021-02-08,5,2021-03-25,6,1
2021-02-06,2021-02-08,5,2021-03-25,9,4
2021-02-07,2021-02-08,8,2021-03-25,14,6
2021-02-08,2021-02-09,6,2021-03-25,8,2
2021-02-09,2021-02-10,3,2021-03-25,7,4
2021-02-10,2021-02-11,5,2021-03-25,11,6
2021-02-11,2021-02-12,7,2021-03-25,11,4
2021-02-12,2021-02-15,5,2021-03-25,5,0
2021-02-13,2021-02-15,3,2021-03-25,10,7
2021-02-14,2021-02-15,2,2021-03-25,4,2
2021-02-15,2021-02-16,2,2021-03-25,3,1
2021-02-16,2021-02-17,2,2021-03-25,9,7
2021-02-17,2021-02-18,1,2021-03-25,2,1
2021-02-18,2021-02-19,1,2021-03-25,4,3
2021-02-19,2021-02-22,5,2021-03-25,6,1
2021-02-20,2021-02-22,1,2021-03-25,4,3
2021-02-21,2021-02-22,3,2021-03-25,3,0
2021-02-22,2021-02-23,2,2021-03-25,3,1
2021-02-23,2021-02-24,4,2021-03-25,6,2
2021-02-24,2021-02-25,4,2021-03-25,5,1
2021-02-25,2021-02-26,3,2021-03-25,5,2
2021-02-26,2021-03-01,0,2021-03-25,0,0
2021-02-27,2021-03-01,2,2021-03-25,4,2
2021-02-28,2021-03-01,3,2021-03-25,3,0
2021-03-01,2021-03-02,3,2021-03-25,6,3
2021-03-02,2021-03-03,0,2021-03-25,0,0
2021-03-03,2021-03-04,1,2021-03-25,3,2
2021-03-04,2021-03-05,1,2021-03-25,2,1
2021-03-05,2021-03-08,3,2021-03-25,3,0
2021-03-06,2021-03-08,0,2021-03-25,1,1
2021-03-07,2021-03-08,2,2021-03-25,4,2
2021-03-08,2021-03-09,1,2021-03-25,1,0
2021-03-09,2021-03-10,1,2021-03-25,2,1
2021-03-10,2021-03-11,3,2021-03-25,6,3
2021-03-11,2021-03-12,2,2021-03-25,3,1
2021-03-12,2021-03-15,1,2021-03-25,1,0
2021-03-13,2021-03-15,3,2021-03-25,5,2
2021-03-14,2021-03-15,2,2021-03-25,2,0
2021-03-15,2021-03-16,3,2021-03-25,4,1
2021-03-16,2021-03-17,3,2021-03-25,3,0
2021-03-17,2021-03-18,2,2021-03-25,3,1
2021-03-18,2021-03-19,0,2021-03-25,2,2
2021-03-19,2021-03-22,2,2021-03-25,4,2
2021-03-20,2021-03-22,3,2021-03-25,3,0
2021-03-21,2021-03-22,1,2021-03-25,1,0
2021-03-22,2021-03-23,0,2021-03-25,0,0
2021-03-23,2021-03-24,0,2021-03-25,0,0
2021-03-24,2021-03-25,1,2021-03-25,1,0
