zip_code,count,date,change,change_%,population,rate_per_10k
2827,161,01/20/2021,9,0.05921052631578938,2172,741.2523020257827
2835,242,01/20/2021,13,0.05676855895196509,5405,447.73358001850136
2912,28,01/20/2021,3,0.1200000000000001,1370,204.37956204379563
2908,5438,01/20/2021,225,0.04316132745060419,37467,1451.4105746390157
2914,2365,01/20/2021,131,0.05863921217546997,21963,1076.8110003187178
2817,380,01/20/2021,35,0.10144927536231885,6135,619.3969030154849
2808,100,01/20/2021,12,0.13636363636363646,2401,416.4931278633902
2875,17,01/20/2021,1,0.0625,307,553.7459283387622
2860,5903,01/20/2021,282,0.05016900907311861,45199,1306.0023451846282
2813,346,01/20/2021,26,0.08125000000000004,7831,441.83373770910487
2911,1417,01/20/2021,71,0.052748885586924255,15574,909.8497495826377
2809,1683,01/20/2021,119,0.07608695652173902,22938,733.7169761967041
2812,67,01/20/2021,3,0.046875,1497,447.56179024716096
2892,307,01/20/2021,19,0.06597222222222232,4988,615.477145148356
2876,47,01/20/2021,1,0.021739130434782705,430,1093.0232558139535
2841,62,01/20/2021,28,0.8235294117647058,1392,445.4022988505747
2882,936,01/20/2021,43,0.04815229563269874,14184,659.8984771573604
2894,39,01/20/2021,5,0.1470588235294117,722,540.1662049861495
2898,117,01/20/2021,5,0.044642857142857206,1696,689.8584905660377
2806,893,01/20/2021,71,0.08637469586374702,16310,547.5168608215819
2865,1538,01/20/2021,93,0.0643598615916956,16951,907.321101999882
2839,118,01/20/2021,7,0.06306306306306309,1902,620.3995793901157
2906,2412,01/20/2021,131,0.05743095133713294,28387,849.6847148342551
2919,3483,01/20/2021,185,0.05609460278956946,28790,1209.7950677318513
2840,1099,01/20/2021,110,0.1112234580384226,23335,470.96635954574674
2905,2916,01/20/2021,140,0.050432276657060626,25223,1156.0876977361931
2917,1197,01/20/2021,76,0.06779661016949157,13762,869.7863682604274
2842,699,01/20/2021,60,0.0938967136150235,16095,434.29636533084806
2832,221,01/20/2021,14,0.06763285024154597,4608,479.60069444444446
2893,2329,01/20/2021,142,0.06492912665752182,29630,786.0276746540669
2804,132,01/20/2021,15,0.1282051282051282,2607,506.3291139240506
2903,848,01/20/2021,54,0.06801007556675054,10780,786.6419294990723
2874,328,01/20/2021,22,0.07189542483660127,5860,559.7269624573379
2885,904,01/20/2021,53,0.062279670975323054,10627,850.6634045356168
2838,378,01/20/2021,20,0.05586592178770955,3400,1111.764705882353
2863,3673,01/20/2021,124,0.03493941955480406,19385,1894.7639927779212
2916,593,01/20/2021,34,0.06082289803220031,8139,728.590735962649
2814,516,01/20/2021,29,0.05954825462012314,7496,688.3671291355389
2879,1053,01/20/2021,54,0.054054054054053946,20371,516.9112954690492
2807,43,01/20/2021,6,0.16216216216216206,1051,409.1341579448145
2907,4852,01/20/2021,164,0.03498293515358353,27445,1767.8994352341047
2921,1242,01/20/2021,59,0.04987320371935766,12361,1004.7730766119247
2886,2288,01/20/2021,154,0.07216494845360821,29269,781.7144419009874
2852,1530,01/20/2021,77,0.05299380591878866,22551,678.4621524544367
2920,4980,01/20/2021,215,0.04512067156348376,37547,1326.337656803473
2859,632,01/20/2021,34,0.05685618729096986,6738,937.9637874740279
2802,42,01/20/2021,4,0.10526315789473695,786,534.3511450381679
2858,53,01/20/2021,1,0.019230769230769162,570,929.8245614035087
2904,3695,01/20/2021,173,0.0491198182850654,29359,1258.5578527879015
2818,1292,01/27/2021,96,0.08026755852842804,18082,714.5227297865281
2842,776,01/27/2021,77,0.11015736766809736,16095,482.1373097235166
2912,32,01/27/2021,4,0.1428571428571428,1370,233.57664233576642
2808,116,01/27/2021,16,0.15999999999999992,2401,483.1320283215327
2882,972,01/27/2021,36,0.03846153846153855,14184,685.2791878172588
2921,1290,01/27/2021,48,0.03864734299516903,12361,1043.604886336057
2920,5184,01/27/2021,204,0.04096385542168668,37547,1380.6695608171094
2872,5,01/27/2021,0,0.0,218,229.35779816513764
2889,2350,01/27/2021,130,0.05855855855855863,28217,832.8312719282702
2852,1633,01/27/2021,103,0.06732026143790848,22551,724.1364019333954
2807,44,01/27/2021,1,0.023255813953488413,1051,418.6489058039962
