city_town,county,count,change,change_%,rate_per_10k,date
Warwick,Kent,17,1,0.0625,2.0931320643207174,3/30/2020
Woonsocket,Providence,0,0,0.0,0.0,3/30/2020
Middletown,Newport,6,0,0.0,3.7267080745341614,3/30/2020
East Greenwich,Kent,0,0,0.0,0.0,3/30/2020
Smithfield,Providence,6,1,0.19999999999999996,2.7763638887603537,3/30/2020
South Kingstown,Washington,8,0,0.0,2.6048450117218027,3/30/2020
Newport,Newport,7,1,0.16666666666666674,2.828854314002829,3/30/2020
Central Falls,Providence,5,5,0.0,2.577984016499098,3/30/2020
Burrillville,Providence,8,1,0.1428571428571428,4.889079019739657,3/30/2020
Cumberland,Providence,10,2,0.25,2.898718766305293,3/30/2020
Bristol,Bristol,5,0,0.0,2.2403441168563494,3/30/2020
Jamestown,Newport,0,0,0.0,0.0,3/30/2020
Foster,Providence,0,0,0.0,0.0,3/30/2020
Cranston,Providence,35,4,0.12903225806451624,4.322108200891589,3/30/2020
Johnston,Providence,8,1,0.1428571428571428,2.7435783120134434,3/30/2020
East Providence,Providence,17,4,0.3076923076923077,3.584607274644175,3/30/2020
Hopkinton,Washington,0,0,0.0,0.0,3/30/2020
Barrington,Bristol,8,2,0.33333333333333326,4.932790726353435,3/30/2020
Exeter,Washington,0,0,0.0,0.0,3/30/2020
Coventry,Kent,6,0,0.0,1.720528775843776,3/30/2020
Glocester,Providence,0,0,0.0,0.0,3/30/2020
Tiverton,Newport,5,0,0.0,3.15059861373661,3/31/2020
Burrillville,Providence,10,2,0.25,6.11134877467457,3/31/2020
East Providence,Providence,18,1,0.05882352941176472,3.7954665260938323,3/31/2020
Providence,Providence,83,12,0.16901408450704225,4.623723601602149,3/31/2020
West Warwick,Kent,8,0,0.0,2.78658260475809,3/31/2020
Westerly,Washington,8,0,0.0,3.535755325731459,3/31/2020
Exeter,Washington,0,0,0.0,0.0,3/31/2020
New Shoreham,Washington,0,0,0.0,0.0,3/31/2020
Warren,Bristol,0,0,0.0,0.0,3/31/2020
Cranston,Providence,39,4,0.11428571428571432,4.816063423850628,3/31/2020
