"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"2017"	"2017"	"Jun., 2017"	"2017/06"	223	Not Applicable	Not Applicable
	"2017"	"2017"	"Jul., 2017"	"2017/07"	226	Not Applicable	Not Applicable
	"2017"	"2017"	"Aug., 2017"	"2017/08"	231	Not Applicable	Not Applicable
	"2017"	"2017"	"Sep., 2017"	"2017/09"	248	Not Applicable	Not Applicable
	"2017"	"2017"	"Oct., 2017"	"2017/10"	239	Not Applicable	Not Applicable
	"2017"	"2017"	"Nov., 2017"	"2017/11"	288	Not Applicable	Not Applicable
	"2017"	"2017"	"Dec., 2017"	"2017/12"	291	Not Applicable	Not Applicable
"Total"	"2017"	"2017"			3095	Not Applicable	Not Applicable
	"2018"	"2018"	"Jan., 2018"	"2018/01"	330	Not Applicable	Not Applicable
	"2018"	"2018"	"Feb., 2018"	"2018/02"	238	Not Applicable	Not Applicable
	"2018"	"2018"	"Mar., 2018"	"2018/03"	249	Not Applicable	Not Applicable
	"2018"	"2018"	"Apr., 2018"	"2018/04"	281	Not Applicable	Not Applicable
	"2018"	"2018"	"May, 2018"	"2018/05"	223	Not Applicable	Not Applicable
	"2018"	"2018"	"Jun., 2018"	"2018/06"	199	Not Applicable	Not Applicable
	"2018"	"2018"	"Jul., 2018"	"2018/07"	212	Not Applicable	Not Applicable
	"2018"	"2018"	"Aug., 2018"	"2018/08"	217	Not Applicable	Not Applicable
	"2018"	"2018"	"Sep., 2018"	"2018/09"	253	Not Applicable	Not Applicable
	"2018"	"2018"	"Oct., 2018"	"2018/10"	246	Not Applicable	Not Applicable
	"2018"	"2018"	"Nov., 2018"	"2018/11"	234	Not Applicable	Not Applicable
	"2018"	"2018"	"Dec., 2018"	"2018/12"	260	Not Applicable	Not Applicable
"Total"	"2018"	"2018"			2942	Not Applicable	Not Applicable
"Total"					62518	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2018"
"Query Parameters:"
"Place of Death: Nursing home/long term care"
"States: Rhode Island (44)"
"Group By: Year; Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: May 13, 2020 6:52:56 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on May 13, 2020 6:52:56 AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"3. The Place of Death category 'Medical Facility - Status unknown' is only available from 1999 - 2002, and 'Hospice facility' is"
"only available for 2003 and later."
